Gross Domestic Product at Current Basic Prices (N' Million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity Sector,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010 2,2011 1
              Water,1.2,1.8,1.4,1.6,2,2,2.8,1.8,1.8,3.4,5,5.2,6.9,9.7,,,,,,,,152.7,161,235.7,212.8,185,216.1,233.38,282.39,307.53,350.03,387.52,455.69,608.38,650.98,723.24,766.2,801.02,833.72,881.48,930.55,967.2,1055.32,1162.54,1314.43,1481.5,1640.63,1957.93,2252.71,2535.06,2860.55,3284.94
  (d) Hotel & Restaurant,,,,,,,,,,,,,,,45.58,49.38,62.99,66.79,83.63,95.63,105.74,389.1,398.7,412.7,492.4,474.2,488.8,490.37,494.75,522.36,552.34,593.29,756.43,1217.14,1988.62,2711.49,3328.67,4285.7,4865.11,5790.65,6455.26,8018.66,9670.03,11421.48,35249.77,46080.04,57611.87,72839.43,86058.68,98961.71,113791.81,130798.22
  (e) Finance & Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375.63,514.55,574.03,690.61,689.28,694.75,662.25,1607.4,1933.5,1939.4,2389.8,2697.7,3309.81,3886.6,5002.89,7317.84,11642.44,12979.81,15124.95,16276.44,12554.5,20397.66,27751.65,30923.26,35698.07,39390.03,43774.94,54367.65,79418.24,81080.78,102953.28,130749.45,296704.89,340908.11,392044.34,444235.9,507799.25,574279.5
            Financial Institutions,,,,,,,,,,,,,,,375.63,514.55,574.03,690.61,689.28,694.75,662.25,1435,1672,1769,2187,2494,3082.31,3613.79,4677.7,6938.96,11260,12553.44,14635.06,15753.67,12153.17,19755.3,26562.95,29964.8,34605.9,38181.52,42408.34,52678.25,76950.41,78832.14,99872.43,126528.38,288381.31,330822.23,380445.57,430991.55,492574.86,556917.45
            Insurance,,,,,,,,,,,,,,,,,,,,,,172.4,261.5,170.4,202.8,203.7,227.5,272.81,325.19,378.88,382.44,426.37,489.89,522.77,401.33,642.36,1188.7,958.46,1092.17,1208.51,1366.6,1689.4,2467.83,2248.64,3080.85,4221.07,8323.58,10085.88,11598.77,13244.35,15224.39,17362.05
  (f) Real Estate & Business Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.15,94.67,96.37,102.23,106.7,111.39,115.06,1730.9,1894.9,2201,2088,2223.8,2458.25,2525.4,2686.12,3718.57,4269.34,5219.31,6501.35,9971,28332.81,47316.88,62055.23,69002.32,100220.96,135415.63,167757.32,189019.61,222756.37,294957.88,463241.48,712835.26,808555.17,925594.42,1064433.59,1213009.66,1348226.89,1515300.26
             Real Estate,,,,,,,,,,,,,,,58.15,94.67,96.37,102.23,106.7,111.39,115.06,1609.8,1711.7,2026.4,1906.8,2021.5,2231.05,2274.29,2400.11,3401.55,3907.15,4793.92,5975.57,9342.15,27486.68,46307.84,60707.86,67497.04,98443.66,133184.73,165069.68,185813.49,218966.88,290467.72,444688.32,680790.75,765184.66,871568,1002303.2,1142366.55,1268182.37,1424054.94
             Business Services,,,,,,,,,,,,,,,,,,,,,,121.1,183.2,174.6,181.2,202.3,227.2,251.11,286.01,317.02,362.19,425.39,525.78,628.85,846.13,1009.04,1347.37,1505.28,1777.3,2230.9,2687.64,3206.12,3789.49,4490.16,18553.16,32044.51,43370.51,54026.42,62130.39,70643.11,80044.52,91245.32
  (g) Producers of Govt. Services,149.2,161.2,172.2,180.4,210.6,225.4,245.2,201.8,259.8,378.6,537.4,604,578.8,714.3,961.94,1352.94,1492.28,1676.6,1765.15,1745.59,2014.91,1310.95,1663.2,1746.77,1837.44,1930.16,2024.79,2116.25,2596.01,2890.44,3197.15,3816.51,9827.74,14308.1,16575.63,19152.55,19724.06,21361.05,35017.23,40176.18,79446.52,100359.87,105392.12,115942.3,129865.58,148055.51,168796.67,193425.36,223385.84,255443.83,292749.63,333060.05
              Public Administration,74.4,76.8,77.6,79.6,93.8,101.4,104,88.6,145.6,270.5,343.3,377.2,339.4,456.6,961.94,1352.94,1492.28,1676.6,1765.15,1745.59,2014.91,1019.95,1294.01,1359.03,1429.57,1501.71,1575.34,1646.5,2019.76,2248.83,2487.46,2969.34,7646.23,11132.06,12896.26,14901.17,15345.81,16619.43,27244.29,31258.08,61811.39,78082.5,81997.7,90205.98,101038.6,115190.77,131329,151330.4,174029.96,197262.29,224188.36,253353.5
              Education,63.2,70.2,77.8,82.6,95.8,100.2,113.8,92.4,94.4,84,152.7,181.4,182.7,191.2,,,,,,,,230.59,292.55,307.25,323.2,339.51,356.15,372.24,456.63,508.42,562.37,671.31,1728.66,2516.74,2915.59,3368.86,3469.39,3757.33,6159.4,7066.84,13974.35,17652.93,18538.1,20393.85,22842.94,26042.52,29689.87,33356.6,39394.14,47095.7,56091.04,65471.33
              Health,11.6,14.2,16.8,18.2,21,23.8,27.4,20.8,19.8,24.1,41.4,45.4,56.7,66.5,,,,,,,,60.41,76.64,80.49,84.67,88.94,93.3,97.51,119.62,133.19,147.32,175.86,452.85,659.3,763.78,882.52,908.86,984.29,1613.54,1851.26,3660.78,4624.44,4856.32,5342.47,5984.04,6822.22,7777.8,8738.36,9961.73,11085.85,12470.22,14235.23
"  (h) Comm., Social & Pers. Services",46.8,51.4,58.4,64.4,73.6,84,95.2,80,91.2,103,132.2,150.5,171.3,195,618.81,871.28,1010.69,1081.44,1135.5,1216.51,1309.58,467.63,494.47,546.97,610.75,576.98,628.07,688.01,738.46,798.52,899.6,1046.54,1277.03,2035.18,4612.65,9488.45,13938.18,17419.37,23232.64,33378.38,42049.22,52973.97,67517.95,79802.73,101243.86,128009.49,161857.64,207289.88,238051.64,270295.27,311769.59,353560.89
               Private non-Profit Organizations,,,,,,,,,,,,,,,,,,,,,,1.79,2.27,2.39,2.51,2.64,2.77,2.89,3.55,3.95,4.36,5.21,13.43,19.55,22.65,26.16,26.92,181.94,47.84,54.9,108.64,137.25,141.37,145.61,149.98,154.48,158.8,163.59,188.13,211.99,244.27,276.54
               Other Services,44.8,49.4,56.4,62.2,70.8,80.6,91.6,76.2,86.8,98.8,128.4,146.1,166.3,189.2,618.81,871.28,1010.69,1081.44,1135.5,1216.51,1309.58,368.24,388.8,441.28,502.24,469.04,514.4,566.19,607.35,657.82,735.91,844.44,1036.19,1738.43,4304.44,9157.94,13574.27,16849.83,22737.14,32804.22,41341.56,52065.19,66464.92,78546.89,99684.88,126112.79,159545.29,204451.11,235118.78,267194.85,308520.56,350097.75
               Broadcasting,2,2,2,2.2,2.8,3.4,3.6,3.8,4.4,4.2,3.8,4.4,5,5.8,,,,,,,,97.6,103.4,103.3,106,105.3,110.9,118.93,127.56,136.75,159.33,196.89,227.41,277.2,285.56,304.35,336.99,387.6,447.66,519.26,599.02,771.53,911.66,1110.23,1409,1742.22,2153.55,2675.18,2744.74,2888.43,3004.76,3186.6
TOTAL (GDP),2233,2361.2,2597.6,2755.8,2894.4,3110,3374.8,2752.6,2656.2,3549.3,5281.1,6650.9,7187.5,8630.5,18823.1,21475.24,26655.78,31520.34,34540.1,41974.7,49632.32,47619.66,49069.28,53107.38,59622.53,67908.55,69146.99,105222.84,139085.3,216797.54,267549.99,312139.74,532613.83,683869.79,899863.22,1933211.55,2702719.13,2801972.58,2708430.86,3194014.97,4582127.29,4725086,6912381.25,8487031.57,11411066.91,14572239.12,18564594.73,20657317.67,24296329.29,24794238.66,33984754.13,37543654.7
Source: National Bureau of Statistics (NBS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: National Bureau of Statistics (NBS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1Provisional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               2Revised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
